	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.40101	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
-0.40001	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
-0.39901	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
-0.39801	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
-0.39701	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
-0.39601	-176.7371599	-176.6272238	-176.5174508	-176.4078956	-176.2986389	-176.1898074	-176.0816099	-175.9744154	-174.8588712	-174.7516771	-174.6434801	-174.5346493	-174.4253931	-174.3158385	-174.2060665	-174.0961312
-0.39501	-176.7348424	-176.6249092	-176.5151402	-176.4055903	-176.296341	-176.1875203	-176.0793394	-175.972172	-174.8611146	-174.7539476	-174.6457671	-174.536947	-174.4276982	-174.318149	-174.208381	-174.0984486
-0.39401	-176.7325249	-176.6225947	-176.5128299	-176.4032852	-176.2940435	-176.1852337	-176.0770694	-175.9699295	-174.8633571	-174.7562174	-174.6480538	-174.5392446	-174.4300033	-174.3204596	-174.2106953	-174.100766
-0.39301	-176.7302075	-176.6202804	-176.5105194	-176.4009802	-176.2917461	-176.1829473	-176.0748	-175.9676877	-174.8655989	-174.758487	-174.6503401	-174.5415418	-174.4323084	-174.3227699	-174.2130096	-174.1030834
-0.39201	-176.7278901	-176.6179661	-176.5082093	-176.3986755	-176.2894489	-176.1806612	-176.072531	-175.9654465	-174.86784	-174.7607561	-174.6526262	-174.5438391	-174.4346133	-174.3250802	-174.215324	-174.1054007
-0.39101	-176.7255729	-176.6156518	-176.505899	-176.3963709	-176.2871518	-176.1783753	-176.0702623	-175.9632063	-174.8700803	-174.7630248	-174.654912	-174.5461361	-174.4369179	-174.3273902	-174.2176383	-174.107718
-0.39001	-176.7232557	-176.6133377	-176.5035891	-176.3940663	-176.2848551	-176.1760899	-176.0679941	-175.9609668	-174.8723199	-174.7652929	-174.6571976	-174.548433	-174.4392223	-174.3297002	-174.2199522	-174.1100352
-0.38901	-176.7209385	-176.6110238	-176.501279	-176.3917617	-176.2825585	-176.1738047	-176.0657264	-175.9587279	-174.8745586	-174.7675605	-174.6594827	-174.5507295	-174.4415266	-174.3320102	-174.2222663	-174.1123524
-0.38801	-176.7186214	-176.6087097	-176.4989691	-176.3894575	-176.2802619	-176.1715196	-176.0634591	-175.95649	-174.8767964	-174.7698277	-174.6617678	-174.5530259	-174.4438309	-174.3343201	-174.2245803	-174.1146695
-0.38701	-176.7163043	-176.6063959	-176.4966594	-176.3871535	-176.2779657	-176.169235	-176.0611924	-175.954253	-174.8790337	-174.7720945	-174.6640524	-174.5553221	-174.4461352	-174.3366299	-174.2268942	-174.1169866
-0.38601	-176.7139874	-176.6040819	-176.4943498	-176.3848494	-176.2756698	-176.1669506	-176.0589261	-175.9520168	-174.88127	-174.7743608	-174.6663366	-174.5576181	-174.4484391	-174.3389394	-174.229208	-174.1193035
-0.38501	-176.7116705	-176.6017682	-176.4920401	-176.3825455	-176.2733741	-176.1646667	-176.0566602	-175.9497812	-174.8835054	-174.7766267	-174.6686207	-174.5599141	-174.4507429	-174.3412491	-174.2315218	-174.1216204
-0.38401	-176.7093535	-176.5994545	-176.4897307	-176.3802419	-176.2710782	-176.1623828	-176.0543949	-175.9475465	-174.8857399	-174.778892	-174.6709045	-174.5622097	-174.4530466	-174.3435584	-174.2338353	-174.1239373
-0.38301	-176.7070366	-176.5971411	-176.4874214	-176.3779384	-176.2687828	-176.1600995	-176.0521302	-175.9453128	-174.8879736	-174.7811567	-174.673188	-174.564505	-174.4553501	-174.3458679	-174.236149	-174.126254
-0.38201	-176.7047199	-176.5948275	-176.4851122	-176.3756349	-176.2664877	-176.1578164	-176.0498659	-175.9430799	-174.8902066	-174.783421	-174.675471	-174.5668001	-174.4576536	-174.348177	-174.2384626	-174.1285709
-0.38101	-176.7024034	-176.5925139	-176.4828029	-176.3733316	-176.2641928	-176.1555335	-176.0476021	-175.9408478	-174.8924387	-174.7856848	-174.6777538	-174.5690952	-174.4599569	-174.3504861	-174.240776	-174.1308875
-0.38001	-176.7000867	-176.5902006	-176.480494	-176.3710285	-176.2618979	-176.1532509	-176.0453386	-175.9386166	-174.8946698	-174.7879481	-174.6800362	-174.57139	-174.46226	-174.3527952	-174.2430892	-174.1332041
-0.37901	-176.69777	-176.5878873	-176.4781849	-176.3687255	-176.2596033	-176.1509688	-176.0430758	-175.9363864	-174.8969001	-174.7902111	-174.6823185	-174.5736846	-174.464563	-174.3551042	-174.2454026	-174.1355206
-0.37801	-176.6954534	-176.5855741	-176.4758762	-176.3664227	-176.2573089	-176.148687	-176.0408136	-175.934157	-174.8991294	-174.7924734	-174.6846004	-174.5759788	-174.4668658	-174.3574129	-174.2477159	-174.1378372
-0.37701	-176.693137	-176.5832609	-176.4735675	-176.3641199	-176.2550147	-176.1464055	-176.0385519	-175.9319287	-174.9013579	-174.7947349	-174.6868818	-174.578273	-174.4691685	-174.3597215	-174.250029	-174.1401537
-0.37601	-176.6908208	-176.580948	-176.471259	-176.3618173	-176.2527209	-176.1441244	-176.0362905	-175.9297012	-174.9035853	-174.7969962	-174.6891629	-174.5805669	-174.471471	-174.3620302	-174.2523419	-174.14247
-0.37501	-176.6885044	-176.5786349	-176.4689502	-176.359515	-176.2504271	-176.1418435	-176.0340299	-175.9274747	-174.9058119	-174.7992569	-174.6914438	-174.5828608	-174.4737734	-174.3643387	-174.2546548	-174.1447863
